NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
"FIRMA PHU ""AUTOMATYKA-SERWIS"" MIROS£AW KNOCI—SKI";"RESTAURACJA NA TERENIE OåRODKA ""BURSZTYN""";GDA—SK;UL. FALOWA;8;GASTRONOMIA;;
SPORTS HOSPITALITY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""PRESTIGE""";GDA—SK;UL. POKOLE— LECHII GDA—SK;1;GASTRONOMIA;;
SPORTS HOSPITALITY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""FAN PUB T29""";GDA—SK;UL. POKOLE— LECHII GDA—SK;1;GASTRONOMIA;;
"""STEREO"" S.C. MICHA£ MOSEK, ANDRZEJ KOSMOL";BAR NA O£OWIANCE;GDA—SK;UL. O£OWIANKA;1;GASTRONOMIA;;
REMCO REMIGIUSZ GALA;"RESTAURACJA ""GRUBA RYBA""";GDA—SK;UL. JANTAROWA;21;GASTRONOMIA;;
"""INTERGASTR"" DOROTA KOMASSA-LEWANDOWSKA";"RESTAURACJA ""U SZKOTA""";GDA—SK;UL. CHLEBNICKA;9;GASTRONOMIA;10;
EXPRESS SP.Z O.O.;"PIZZERIA & RESTAURACJA ""W£OSKA ROBOTA""";GDA—SK;UL. MARII SK£ODOWSKIEJ-CURIE;3;GASTRONOMIA;;
OREGANO S.C. DANUTA JASIK, SYLWIA PAW£OWSKA;"RESTAURACJA W BUDYNKU ""OLIVIA GATE""";GDA—SK;UL. ALEJA GRUNWALDZKA;472;GASTRONOMIA;;
ABACIOGLU HASAN KEBAB;KEBAB ANTAKYA;GDA—SK;UL. CH£OPSKA;59;GASTRONOMIA;;
ROBERT STAJKOWSKI FHU STAJKOWSKI;PIZZERIA POKOLENIOWA;GDA—SK;UL. ZBIGNIEWA BURZY—SKIEGO;9;GASTRONOMIA;;
"RESTAURACJA ""SET"" ANNA S£ODKOWSKA";"RESTAURACJA ""SET""";GDA—SK;UL. ALEJA GRUNWALDZKA;309;GASTRONOMIA;;
MITO SUSHI RESTAURACJA JAPO—SKA MARIUSZ SMOLI—SKI;"RESTAURACJA ""MITO SUSHI""";GDA—SK;UL. TANDETA;1;GASTRONOMIA;80;
RESTAURACJA ORZE£ D.STEFA—SKI M.STEFA—SKI SP. JAWNA;"RESTAURACJA ""ORZE£""";GDA—SK;UL. WARSZAWSKA;88;GASTRONOMIA;;
