NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
"RESTAURACJA""AMAZONKA"" TERESA PANEK";"RESTAURACJA ""AMAZONKA""";GDA—SK;UL. KRZYWOUSTEGO;13;GASTRONOMIA;;
"PAWILON ""GOFRY""  MARIAN SZYCH";"BAR ""GOFRY""";GDA—SK;UL. OBRO—C”W WESTERPLATTE;39;GASTRONOMIA;C;
"GDA—SKI  KLUB SPORTOWY ""STOCZNIOWIEC""";"RESTAURACJA ""OLIVIA""";GDA—SK;UL. ALEJA GRUNWALDZKA;470;GASTRONOMIA;;
PIZZERIA TORNADO  ELØBIETA PIASTOWSKA;PIZZERIA TORNADO;GDA—SK;UL. PARTYZANT”W;103 A;GASTRONOMIA;;
BAR GASTRONOMICZNY GRILL BAR MERC MIROS£AW GUZOWSKI;"BAR ""GRILL BAR MERC""";GDA—SK;UL. BITWY OLIWSKIEJ;20;GASTRONOMIA;;
"BAR ""IKAR"" - MA£GORZATA STATNIK (WSP”LNIK SP”£KI CYWILNEJ)";BAR IKAR;GDA—SK;UL. FRANCISZKA HYNKA;59;GASTRONOMIA;;
"RESTAURACJA ""ØABUSIA"" S£AWA RAFALAK";"RESTAURACJA ""ØABUSIA""";GDA—SK;UL. GOSPODY;7A;GASTRONOMIA;;
PIZZERIA RESTAURACJA RUCOLA        TOMASZ ZAJKOWSKI;RESTAURACJA RUCOLA;GDA—SK;UL. ABRAHAMA;15A;GASTRONOMIA;;
"PRZEDSI BIORSTWO GASTRONOMICZNE ""ALICJA"" ALICJA SZENIAWSKA";"RESTAURACJA ""ALICJA""";GDA—SK;UL. WA£Y PIASTOWSKIE;24;GASTRONOMIA;;
BAR GASTRONOMICZNY MIå RYSZARD MEYER;BAR MIå (NA TERENIE ZOO);GDA—SK;UL. KARWIE—SKA;3;GASTRONOMIA;TEREN ZOO;
BAR-SMAØALNIA MIROS£AWA OWCZAREK;"BAR ""SMAØALNIA RYB""";GDA—SK;UL. åWIBNIE—SKA;35A;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"RESTAURACJA ""BUSINESS SHARK""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;RESTAURACJA FLYING BISTRO;GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"BAR ""IMPERIAL CLUB""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"LOKAL ""PREMIUM FOOD GATE""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"KAWIARNIA ""FURORE""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;1 P 01.101;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;CHIEF'S RESTAURANT;GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;01.252 251;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"LOKAL GASTRONOMICZNY ""BREAD & CO""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;210;GASTRONOMIA;01.346,249;
JAROSLAW KUKLI—SKI;"BAR ""SNACK BAR""";GDA—SK;UL. PRZYWIDZKA;8;GASTRONOMIA;;
LUDOVISKO KRZYSZTOF KORDELEWSKI;RESTAURACJA  LUDOVISKO;GDA—SK;UL. ALEJA GRUNWALDZKA;470;GASTRONOMIA;;
BOHEMA  CAFE JOLANTA LIPSKA;KAWIARNIA BOEHMA;GDA—SK;UL. SZEROKA;77/79;GASTRONOMIA;1A;
"PRZYSTA— ""PTASI RAJ"" LUBINIECKA-KORZENIOWSKA IZABELA";"GOSPODA ""PTASI RAJ""";GDA—SK;UL. NADWIåLA—SKA;139B;GASTRONOMIA;;
SOPRANO S.C. ROBERT åWI•TEK  MARIUSZ RUDAKOWSKI  MARIA WOBALIS;RESTUARACJA SOPRANO;GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;3;GASTRONOMIA;;
PIZZERIA KAMELEON S.C. KRYSTYNA KOZ£OWSKA, ADRIAN KOZ£OWSKI;PIZZERIA KAMELEON;GDA—SK;UL. BIESZCZADZKA;19;GASTRONOMIA;;
"""ALFA"" NEW PERSPECTIVE MA£GORZATA ROPEL";"BAR ""KUCHNIA ØU£AWSKA""";GDA—SK;UL. ØWIRKI I WIGURY;12;GASTRONOMIA;39;
CUKIERNIA SOWA SP. JAWNA;CUKIERNIA SOWA;GDA—SK;UL. D£UGA;13;GASTRONOMIA;;
MANDU CENTRUM S.C. MACIEJ SEMIENIUK, DOROTA SEMENIUK. AGNIESZKA MAREK-KUROWSKA;"RESTAURACJA - PIEROGARNIA ""MANDU""";GDA—SK;UL. ELØBIETA—SKA;4;GASTRONOMIA;8;
MILA FOOD S.C. M.DROZDOWSKI L. DROZDOWSKA;"PIZZA BAR ""VERANDA""";GDA—SK;UL. SUBIS£AWA;27C;GASTRONOMIA;;
CHOPIN AIRPORT DEVELOPMENT SP. Z O.O.;"RESTAURACJA,BAR ""HAMPTON BY HILTON""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;220;GASTRONOMIA;;
BARBADOS FIRMA GASTRONOMICZNA LUBOCKA MAJA SP”£KA Z  O.O.;RESTAURACJA BARBADOS;GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
FIRMA HANDLOWO-US£UGOWA JAROS£AWA ZAG”RSKA;"BAR ""PIEROGI LWOWSKIE""";GDA—SK;UL. DO STUDZIENKI;8;GASTRONOMIA;;
DP POLSKA SP”£KA AKCYJNA;BAR DOMINO'S PIZZA;GDA—SK;UL. NIEBOROWSKA;10;GASTRONOMIA;;
MAREK TOKARZEWSKI OLIWA DO OGNIA;"PIZZERIA ""OLIWA DO OGNIA""";GDA—SK;UL. ROMANA DMOWSKIEGO;3;GASTRONOMIA;;
KONCEPT04 SP. Z O.O.;"RESTAURACJA ""TEKSTYLIA""";GDA—SK;UL. SZEROKA;11;GASTRONOMIA;13;
FIRMA US£UGOWO-HANDLOWA PAULINA OLEJNICZAK;"BAR ""KALINKA""";GDA—SK;UL. FRANCISZKA HYNKA;67;GASTRONOMIA;;
ANNA KUBI∆;"RESTAURACJA ""TENISOWA""";GDA—SK;UL. JANUSZA MEISSNERA;3;GASTRONOMIA;;
"AGNIESZKA SIERAC ""FUKA""";"CUKIERNIO-KAWIARNIA ""FUKAFE""";GDA—SK;UL. WAJDELOTY;22;GASTRONOMIA;;
100CZNIA- JAKUB £UKASZEWSKI;"BAR ""100CZNIA""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;;
STREAMLINE POLSKA 2 SP. Z O.O.;"RESTAURACJA ""BRENSO""";GDA—SK;UL. IGNACEGO KRASICKIEGO;9B;GASTRONOMIA;1,2;
"PIEKARNIA CUKIERNIA ""M”J PIEKARZ"" MICHAEL FOLKMANN";"BISTRO ""PLAØA PIEKARZA""";GDA—SK;UL. ORZECHOWA;1;GASTRONOMIA;;
EVEREST DANIEL R”ØA—SKI;"BAR ""STREFA INSPIRACJI""";GDA—SK;UL. ALEJA GRUNWALDZKA;211;GASTRONOMIA;;
SNOW ANGEL SP. Z O.O.;"KAWIARNIA ""BINGSU CAFE""";GDA—SK;UL. OGARNA;124;GASTRONOMIA;;
EL PASOLE SP. Z O.O.;"BAR ""EL PASO""";GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;24;GASTRONOMIA;2B;
MAMI SUSHI MICHA£ PAPROCKI MARCIN WARDA WSP”LNICY S.C.;"RESTAURACJA ""MAMI SUSHI""";GDA—SK;UL. MARIANA HEMARA;3;GASTRONOMIA;U4;
SIGO S.C. DOROTA GOLEC, TOMASZ SIUDAK;RESTAURACJA OLIMP/LIKE THAI;GDA—SK;UL. RAJSKA;10;GASTRONOMIA;;
""" FAME SC "" ALEKSANDRA RZEPNICKA TOMASZ RZEPNICKI";"RESTAURACJA ""BROWAR PIWNA""";GDA—SK;UL. PIWNA;50;GASTRONOMIA;51;
"""RESTAURACJA DW”R KUèNICZKI A.JAKOBSCHY I WSP”LNICY SP”£KA JAWNA""";RESTAURACJA DW”R KUèNICZKI;GDA—SK;UL. WAJDELOTY;13;GASTRONOMIA;;
BISTRO LUBI   MARCIN KARCZ;BISTRO LUBI ;GDA—SK;UL. WARSZAWSKA;96;GASTRONOMIA;49;
J.M.S. SP”£KA Z O.O.;PIWNICA RAJC”W - BISTRO;GDA—SK;UL. D£UGI TARG;44;GASTRONOMIA;;
CATERING4YOU MACIEJ DZIK;"RESTAURACJA ""LYCYNKA""";GDA—SK;UL. JOACHIMA LELEWELA;19A;GASTRONOMIA;;
MY BURGER S.C. KAROLINA CHRZANOWSKA, JAROS£AW MALINOWSKI;MY BURGER;GDA—SK;UL. GEN. BORA-KOMOROWSKIEGO;46;GASTRONOMIA;;
PL BURGER SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;LOKAL GASTRONOMICZNY;GDA—SK;UL. GDY—SKA;4;GASTRONOMIA;;
NUTRI MIND SP. Z O.O. SP”£KA KOMANDYTOWA;"RESTAURACJA ""KUCHNIA MARCHE""";GDA—SK;UL. KO£OBRZESKA;41C;GASTRONOMIA;;
PIZZERIA ROGATA S.C. KRZYSZTOF CZYØEWSKI, ANETA CZYØEWSKA;"PIZZERIA ""ROGATA""";GDA—SK;UL. KRZYWOUSTEGO;25;GASTRONOMIA;;
SKLEP SPOØYWCZO-MI SNY EWA PO£CHOWSKA;BISTRO ENDORFINA;GDA—SK;UL. ØWIRKI I WIGURY;4;GASTRONOMIA;12A;
YUNFENG SP. Z O.O.;"RESTAURACJA ""CHI—SKI WIATR""";GDA—SK;UL. ØWIRKI I WIGURY;4;GASTRONOMIA;20;
LODZIARNIE FIRMOWE SP. ZO.O. SP”£KA KOMANDYTOWA;"LODZIARNIA ""GRYCAN - LODY OD POKOLE—""";GDA—SK;UL. ALEJA GRUNWALDZKA;82;GASTRONOMIA;;
LODZIARNIE FIRMOWE SP. ZO.O. SP”£KA KOMANDYTOWA;LODZIARNIA GRYCAN LODY OD POKOLE—;GDA—SK;UL. D£UGA;73;GASTRONOMIA;;
CENTRAL CLUB ANDRZEJ KOSI—SKI;"PUB ""CENTRAL CLUB""";GDA—SK;UL. WA£Y JAGIELLO—SKIE;5;GASTRONOMIA;;
IWONA KWIATKOWSKA;"BAR ""PER£A BA£TYKU""";GDA—SK;UL. OLIWSKA;65;GASTRONOMIA;;
"1.BAR ØU£AWSKI KRYSTYNA LEPEK,ARTUR LEPEK,MAREK LEPEK-BUFET-FEDERAL MOGUL BIMET,2.PUB ""DW”JKA""-ARTUR LEPEK,MAREK LEPEK";PUB DW”JKA;GDA—SK;UL. ALEJA GRUNWALDZKA;135;GASTRONOMIA;;
"""LUKULLUS"" WOJCIECH DUBROWSKI";RESTAURACJA LUKULLUS;GDA—SK;UL. KARTUSKA;482;GASTRONOMIA;;
ALMANAK WOJCIECH SUCHY;"KAWIARNIA ""PO£UDNIK 18""";GDA—SK;UL. GARNCARSKA;7;GASTRONOMIA;8/9;
"JUSTYNA PLEBANIAK BAR ""MUSZELKA""";"BAR ""MUSZELKA""";GDA—SK;UL. WYDMY;9;GASTRONOMIA;;
"O.W. "" GRYF "" WIOLETTA £•CKA";"RESTAURACJA O OW ""GRYF""";GDA—SK;UL. JANA Z KOLNA;22;GASTRONOMIA;26;
"""ELEPHANT"" CLUB S.C.  MARIA BOMBKA, BOGUS£AW KACZMAREK";"BAR ""POD BANDER•""";GDA—SK;UL. D£UGIE POBRZEØE;23;GASTRONOMIA;;
"""ELEPHANT"" CLUB S.C.  MARIA BOMBKA, BOGUS£AW KACZMAREK";"RESTAURACJA ""ELEPHANT CLUB""";GDA—SK;UL. D£UGI TARG;41;GASTRONOMIA;42;
FERIEN JACEK BECKER;"ZAJAZD ""POD OLIWK•""";GDA—SK;UL. KOåCIERSKA;1;GASTRONOMIA;A;
CAFE FACTOTUM KRZYSZTOF SZMIDT;"KAWIARNIA ""CAFE FACTOTUM""";GDA—SK;UL. åW. DUCHA;8;GASTRONOMIA;10;
"MACIEJ MATEJCZUK ""BAR PIWNY""";BAR PIWNY;GDA—SK;UL. OBRO—C”W WESTERPLATTE;39A;GASTRONOMIA;;
GRZEGORZ KLEIN PIZZERIA PAULA;"PIZZERIA ""PAULA""";GDA—SK;UL. KIELNIE—SKA;87;GASTRONOMIA;;
BAR NEPTUN MICHA£ DAWIDEK;"BAR ""NEPTUN""";GDA—SK;UL. T CZOWA;12;GASTRONOMIA;;
DP POLSKA SP”£KA AKCYJNA;BAR GASTRONOMICZNY  DOMINO'S  PIZZA;GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;33;GASTRONOMIA;;
PEPERINO IRENEUSZ PIEKAREWICZ JACEK PODWORSKI (WSP”LNICY S.C.);RESTAURACJA PEPERINO;GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;280;GASTRONOMIA;;
FUNDACJA KOLONIA ARTYST”W;KAWIARNIA KOLONIA ARTYST”W;GDA—SK;UL. ALEJA GRUNWALDZKA;51;GASTRONOMIA;;
FIRMA GASTRONOMICZNA LUCYNA BIEGAJ;"KAWIARNIA ""CARTE DOR CAFE""";GDA—SK;UL. TARG RYBNY;6;GASTRONOMIA;4B;
MEDUSA HOTEL SP”£KA Z O.O.;BAR W HOTELU MEDUSA;GDA—SK;UL. ST•GIEWNA;16;GASTRONOMIA;;
DURIAN ØANETA NOGA;KAWIARNIO-LODZIARNIA ITALIA;GDA—SK;UL. WOLARZA;13;GASTRONOMIA;;
KAWATEE IZABELA NOGA;KAWIARNIA CAFE LIBERITAS;GDA—SK;UL. CHLEBNICKA;37;GASTRONOMIA;38;
RED LIGHT PUB S.C. ANDRZEJ CZARNOCKI, MARCIN NANDE;"PUB ""RED LIGHT""";GDA—SK;UL. PIWNA;28;GASTRONOMIA;31;
RED LIGHT PUB S.C. ANDRZEJ CZARNOCKI, MARCIN NANDE;BAR MECYJE;GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;;
DESINGER  FRYDERYK ØBIKOWSKI;PUB CZERWONA SUKIENKA;GDA—SK;UL. D£UGI TARG;1-7;GASTRONOMIA;3;
OMAGGIO MAGDALENA GAJOWNICZEK SP”£KA JAWNA;"PIZZERIA ""OMAGGIO""";GDA—SK;UL. KIELNIE—SKA;163;GASTRONOMIA;;
RIVA MAURYCY CHODOROWSKI SP. JAWNA;RESTAURACJA RADA MIASTA FOOD&WINE;GDA—SK;UL. KORZENNA;33;GASTRONOMIA;35;
AMMA R KOZAK A SIWCZY—SKI SP”£KA JAWNA;"RESTAURACJA ""MANEKIN""";GDA—SK;UL. ALEJA GRUNWALDZKA;270;GASTRONOMIA;;
ELKOMPLEX ANDRZEJ JARZ•BKOWSKI;RESTAURACJA ZACISZE;GDA—SK;UL. NIEPO£OMICKA;36;GASTRONOMIA;;
CHATA CH£OPSKA S.C. ADAM MIEROS£AWSKI JAKUB MIEROS£AWSKI;"RESTAURACJA ""CHATA SMAKU""";GDA—SK;UL. GEN. ANTONIEGO GIE£GUDA;4;GASTRONOMIA;;
ZAG”RSCY S.C;"RESTAURACJA ""GRASS""";GDA—SK;UL. SZEROKA;121;GASTRONOMIA;122;
POMELO BISTRO KRZYSZTOF SZYMA—SKI;"BAR ""POMELO BISTRO""";GDA—SK;UL. OGARNA;121;GASTRONOMIA;122;
INSIEMO SP. Z O.O.;"BAR ""RECONNECT""";GDA—SK;UL. RAJSKA;6;GASTRONOMIA;;
FBP WITOLD KSEPKA;"PIZZERIA ""FARINA""";GDA—SK;UL. TANDETA;1;GASTRONOMIA;79;
ANGAST SP. Z O.O.;LOKAL GASTRONOMICZNY;GDA—SK;UL. J”ZEFA CZYØEWSKIEGO;16A;GASTRONOMIA;;
"FUNDACJA ""WSP”LNOTA GDA—SKA""";"BAR ""TU MOØNA MARZY∆""";GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;25;GASTRONOMIA;-;
CZARNYM DRUKIEM SP. Z O.O.;KAWIARNIA Z GALERI• DRUKARNIA CAFE;GDA—SK;UL. MARIACKA;36;GASTRONOMIA;;
VIT-PASO SP. Z O.O.;RESTAURACJA PAN KOTOWSKI;GDA—SK;UL. STARY RYNEK OLIWSKI;7;GASTRONOMIA;;
MARIA RZANNY;"PUB ""PLAY OFF""";GDA—SK;UL. BITWY OLIWSKIEJ;20A;GASTRONOMIA;;
ARTTOT SP. Z O.O.;"RESTAURACJA ""WHITE RABBIT SALOON""";GDA—SK;UL. CHMIELNA;103;GASTRONOMIA;104;
MARIUSZ OKLI—SKI;KAWIARNIA COLUMBUS COFFEE;GDA—SK;UL. CYPRIANA KAMILA NORWIDA;9;GASTRONOMIA;;
MARCIN KOZ£OWSKI I.MK GASTRO II. MK MBP S.C.;RESTAURACJA Z BAREM KAWOWYM;GDA—SK;UL. JELITKOWSKA;51;GASTRONOMIA;;
"PRZESI BIORSTWO US£UGOWE ""PIACERE"" TOMASZ TYNIEC";"BAR ""PIACERE""";GDA—SK;UL. åW. DUCHA;2;GASTRONOMIA;;
ZATOKA HANDEL SP. Z O.O. SP. KOMANDYTOWO-AKCYJNA;RESTAURACJA ZATOKA;GDA—SK;UL. TRAKT åW. WOJCIECHA;149;GASTRONOMIA;;
MARZENA WICHOWICZ;"PIZZERIA ""ZAPIECEK""";GDA—SK;UL. BULO—SKA;16;GASTRONOMIA;2;
JAHMAJKA EDWARD SAMP;"KAWIARNIA ""JAHMAJKA""";GDA—SK;UL. OBRO—C”W WYBRZEØA;23;GASTRONOMIA;;
"PRZEDSI BIORSTWO HANDLOWE ""PIK""  LESZEK PIEåNIAK";"KLUB BILARDOWY ""GREEN CLUB""";GDA—SK;UL. FRANCISZKA HYNKA;69;GASTRONOMIA;;
HOTEL AUREUS MI CZKOWSKI SP”£KA KOMANDYTOWA;"RESTAURACJA W HOTELU ""AUREUS""";GDA—SK;UL. SIEROCA;3;GASTRONOMIA;;
"FIRMA US£UGOWA ""MATEX"" MARCELI ZAJ•C";BAR SEZONOWY;GDA—SK;UL. WYDMY;5;GASTRONOMIA;;
MOTOSTREFA SP. Z O.O.;"PIZZERIA ""MOYA""";GDA—SK;UL. LUBOWIDZKA;41;GASTRONOMIA;;
TEX-MEX RESTAURACJA PUEBLO;"RESTAURACJA ""PUEBLO""";GDA—SK;UL. KO£ODZIEJSKA;4;GASTRONOMIA;;
SRUTUTUTUP CZEKDRUTU S.C. MICHA£ TYSARCZYK, PRZEMYS£AW DREMO;PUB CAFE SZAFA;GDA—SK;UL. PODMURZE;2;GASTRONOMIA;;
ABC SP”£KA Z O.O.;"RESTAURACJA W HOTELU ""AMBER""";GDA—SK;UL. POWSTA—C”W WARSZAWSKICH;45;GASTRONOMIA;;
PHU TRIAX CEZARY BIEDRZYCKI;PUB SCREEN;GDA—SK;UL. PILOT”W;9A;GASTRONOMIA;;
FUTURE LIVE KRYSTIAN DOBRZY—SKI;"CAFE COCTAIL BAR ""MOJITO""";GDA—SK;UL. D£UGI TARG;35;GASTRONOMIA;38A;
FUTURE LIVE KRYSTIAN DOBRZY—SKI;"""BAR ""PRZYSTANEK OPERA""";GDA—SK;UL. ALEJA ZWYCI STWA;15;GASTRONOMIA;;
"KLUB ""ØAK""";KAWIARNIA KLUBU ØAK;GDA—SK;UL. GRUNWALDZKA;195;GASTRONOMIA;197;
"PIEKARNIA-CUKIERNIA""PELLOWSKI"" GRZEGORZ PELLOWSKI";"PIEKARNIA CUKIERNIA ""PELLOWSKI""";GDA—SK;UL. PODWALE STAROMIEJSKIE;82;GASTRONOMIA;;
STADION LETNI SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""MOLOTEKA""";;;;GASTRONOMIA;;GDA—SK, UL. JANTAROWA, WEJåCIE NA PLAØE NR 53
"SMAØALNIA RYB ""POD BRZOZ•"" WALDEMAR STRO—SKI";"SMAØALNIA RYB ""POD BRZOZ•""";GDA—SK;UL. BARWNA;10;GASTRONOMIA;;
ALICJA BLADOWSKA;"BAR ""NADMORSKI""";GDA—SK;UL. JELITKOWSKA;4;GASTRONOMIA;;
GSH Q HOTEL SP”£KA Z O. O. SP.K;"RESTUARACJA W HOTELU GRAND CRU""";GDA—SK;UL. RYCERSKA;11;GASTRONOMIA;12;
HOTEL GDA—SK BROVARNIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""BROVARNIA GDA—SK""";GDA—SK;UL. SZAFARNIA;9;GASTRONOMIA;;
SADOWA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA W HOTELU ""SADOWA""";GDA—SK;UL. £•KOWA;60;GASTRONOMIA;;
CITY HOTEL MANAGEMENT SP”£KA Z O.O.;RESTAURACJA  W HOTELU ALMOND;GDA—SK;UL. TORU—SKA;12;GASTRONOMIA;37;
"ROBERT ZBOROWSKI I.KLUB FRYZJERSKI ""ELITE"" II. CAPONE III.SEKTOR ORUNIA";BAR GASTRONOMICZNY  CAPONE KEBAB;GDA—SK;UL. TRAKT åW. WOJCIECHA;69B;GASTRONOMIA;;
THAO THAI  RESTAURANT SP Z O.O.;RESTAURACJA THAO THAI;GDA—SK;UL. SZEROKA;84;GASTRONOMIA;85;
EASYBAR - MARIUSZ JASTRZEMBOWSKI;BAR EASYBAR;GDA—SK;UL. WARNE—SKA;8C;GASTRONOMIA;2;
ROTTERDAM WINE BAR MARZENA KWICZOR;"BAR ""ROTTERDAM WINE BAR""";GDA—SK;UL. CHMIELNA;101;GASTRONOMIA;102;
MARTA KOCZARA RESTAURACJA CHI—SKA;BAR CHI—SKI HONG;GDA—SK;UL. POWSTA—C”W WARSZAWSKICH;15;GASTRONOMIA;;
IDEATOUR GERMANUS SP. Z O.O.;PUB DUSZEK-SCHOPENHAUER;GDA—SK;UL. åW. DUCHA;119;GASTRONOMIA;121;
MY KEBAB MEHMET YUKSEK;"BAR ""MY KEBAB""";GDA—SK;UL. KS. LEONA MISZEWSKIEGO;18 A;GASTRONOMIA;;
WML BOGDAN WASILEWSKI, PAWE£ LASOTA, £UKASZ MICHALUK (WSP”LNICY SC);"RESTAURACJA ""R KAWICZKA""";GDA—SK;UL. D£UGA;84;GASTRONOMIA;85;
PO PAS GRZEGORZ PINKER;"PIZZERIA ""DA GRASSO""";GDA—SK;UL. SZEROKA;125;GASTRONOMIA;126;
DELMONICO OLGA KAèMIERAK;"RESTAURACJA ""STEAKHOUSE""";GDA—SK;UL. SZAFARNIA;11;GASTRONOMIA;;
APAC SP. Z O.O. SP. KOMANDYTOWA;"KAWIARNIA ""CARTE D'OR""";GDA—SK;UL. PRZYWIDZKA;8;GASTRONOMIA;;
KLAKMANDOO JESSIKA BAJAK;"BAR  ""SUAVEMENTE""";GDA—SK;UL. FRANCISZKA HYNKA;57;GASTRONOMIA;2;
CHOCHLA KACPER SUCHECKI;"BAR ""CHOCHLA""";GDA—SK;UL. JANA KILI—SKIEGO;9;GASTRONOMIA;5;
LIMONKA S.C. PAWE£ KOCO£ JAKUB STACHULA;"RESTAURACJA ""MOTTO BISTRO CAFE""";GDA—SK;UL. WAJDELOTY;21;GASTRONOMIA;;
ALFA HANNA I KAMIL ZMITROWICZ S.C.;BAR CRAFT COCTAILS;GDA—SK;UL. SZEROKA;48/49;GASTRONOMIA;3;
PURO HOTEL GDA—SK SP.ZO.O.;RESTAURACJA INK W HOTELU PURO GDA—SK;GDA—SK;UL. ST•GIEWNA;26;GASTRONOMIA;;
NHB ZIELI—SKI SP”£KA JAWNA;"RESTAURACJA ""NEIGHBOURS""";GDA—SK;UL. SZAFARNIA;11;GASTRONOMIA;U12;
BILLY'S AMERICAN RESTAURANTS SP.Z O.O.;"RESTAURACJA ""BILL'S AMERICAN""";GDA—SK;UL. RAJSKA;10;GASTRONOMIA;;
ROCKOUT PUB MAGDALENA OPION;PUB ROCK OUT;GDA—SK;UL. PLAC DWORCOWY;2;GASTRONOMIA;;
S2 RESTAURANTS SP. Z O.O. SP.  KOMANDYTOWA;RESTAURACJA SUGOI SUSHI I ALCHEMIA WINA;GDA—SK;UL. ALEJA GRUNWALDZKA;415;GASTRONOMIA;;
ARENA PUB PIZZA JARMUSZCZAK BOGUMI£A;PIZZA PUB ARENA;GDA—SK;UL. GOSPODY;35;GASTRONOMIA;;
BOMA SP”LKA CYWILNA EDYTA BABICKA MACIEJ BABICKI;TAWERNA BOMA;GDA—SK;UL. BRZEèNIE—SKA;17;GASTRONOMIA;;
DARIUSZ MARKIEWICZ;"RESTAURACJA ""CANIS""";GDA—SK;UL. OGARNA;27;GASTRONOMIA;28;
CZARNOCKI, NANDE, PLAZA, WINISZEWSKI DELUXE SP”£KA JAWNA;STACJA DELUXE;GDA—SK;UL. ALEJA GRUNWALDZKA;22;GASTRONOMIA;;
KITCHEN STORY SP. Z O.O. SP. KOMANDYTOWA;"RESTAURACJA ""PASIBUS""";GDA—SK;UL. FRANCISZKA SCHUBERTA;102A;GASTRONOMIA;;
HIGH QUALITY JOANNA KARPI—SKA;"""IMBRYK HERBATY""";GDA—SK;UL. CYPRIANA KAMILA NORWIDA;23;GASTRONOMIA;LOK.U1;
NOCE I DNIE SP. Z O.O. SP”£KA KOMANDYTOWA;"RESTAURACJA 'NOCE I DNIE""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;19;GASTRONOMIA;;
US£UGI GASTRONOMICZNE ALEKSANDRA LUBI—SKA;"PUB ""BLUES BROTHERS""";GDA—SK;UL. SPICHRZOWA;25;GASTRONOMIA;1;
MKREATYWNIE MATEUSZ BROØYNA;"PIZZERIA ""105""";GDA—SK;UL. KONRADA GUDERSKIEGO;1A;GASTRONOMIA;L1A;
KOWALSKA TERESA BAR NO NAME;BAR NO NAME;GDA—SK;UL. D•BROWSZCZAK”W;9;GASTRONOMIA;;
PIWNA 47 SP. Z O.O. SP.K;"RESTAURACJA ""FOOD & WINE""";GDA—SK;UL. PIWNA;47;GASTRONOMIA;;
MOJE MIEJSCE  SP. Z O.O.;"RESTAURACJA ""MOJE MIEJSCE""";GDA—SK;UL. MARIANA HEMARA;23;GASTRONOMIA;;
REPUBLIKA SMAKU S.C. BEATA TOMCZAK, SYLWIA SZABA£A - GAABOURI;RESTAURACJA;GDA—SK;UL. åL•SKA;19;GASTRONOMIA;;
FOODIE CATERING MICHA£ BUDKA;KAWIARENKA W OPERZE BA£TYCKIEJ;GDA—SK;UL. ALEJA ZWYCI STWA;15;GASTRONOMIA;;
"PIEKARNIA-CUKIERNIA""PELLOWSKI"" GRZEGORZ PELLOWSKI";"KAWIARNIA ""PELLOWSKI""";GDA—SK;UL. D£UGA;40;GASTRONOMIA;42;
"PIEKARNIA-CUKIERNIA""PELLOWSKI"" GRZEGORZ PELLOWSKI";"KAWIARNIA ""PELLOWSKI""";GDA—SK;UL. RAJSKA;10;GASTRONOMIA;;
"PIEKARNIA-CUKIERNIA""PELLOWSKI"" GRZEGORZ PELLOWSKI";"KAWIARNIA ""PELLOWSKI""";GDA—SK;UL. RAJSKA;5;GASTRONOMIA;;
"""POD £OSOSIEM"" MIECZYS£AW ROBAKOWSKI";"RESTAURACJA ""POD £OSOSIEM""";GDA—SK;UL. SZEROKA;52-54;GASTRONOMIA;;
